fips,addressCounty,addressState,Total,C18 Total,C93 Total,C25 Total,C61 Total,C64 Total,C54 Total,C85 Total,C73 Total,C91 Total,C43 Total,C50 Total,C34 Total,C92 Total,C67 Total
37159,Rowan County,NC,741.0,68.0,0.0,65.0,134.0,27.0,4.0,4.0,7.0,16.0,67.0,125.0,161.0,15.0,48.0
37163,Sampson County,NC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37173,Swain County,NC,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37175,Transylvania County,NC,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
37183,Wake County,NC,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39035,Cuyahoga County,OH,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
39049,Franklin County,OH,12.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
39057,Greene County,OH,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
39061,Hamilton County,OH,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
39095,Lucas County,OH,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
39153,Summit County,OH,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
40109,Oklahoma County,OK,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
04013,Maricopa County,AZ,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40143,Tulsa County,OK,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
42003,Allegheny County,PA,11.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0
42011,Berks County,PA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42043,Dauphin County,PA,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
42045,Delaware County,PA,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
42049,Erie County,PA,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
42077,Lehigh County,PA,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
42093,Montour County,PA,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0
42095,Northampton County,PA,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
42101,Philadelphia County,PA,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
42133,York County,PA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45001,Abbeville County,SC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45003,Aiken County,SC,708.0,64.0,3.0,28.0,117.0,22.0,5.0,27.0,11.0,22.0,62.0,215.0,93.0,3.0,36.0
45007,Anderson County,SC,302.0,38.0,0.0,15.0,54.0,5.0,0.0,5.0,5.0,7.0,8.0,88.0,63.0,3.0,11.0
45009,Bamberg County,SC,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
45015,Berkeley County,SC,38.0,5.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,2.0,1.0,14.0,6.0,0.0,1.0
45019,Charleston County,SC,759.0,93.0,2.0,58.0,53.0,10.0,8.0,10.0,58.0,9.0,59.0,171.0,195.0,20.0,13.0
45021,Cherokee County,SC,16.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0
45023,Chester County,SC,89.0,4.0,1.0,6.0,22.0,0.0,2.0,2.0,1.0,2.0,3.0,18.0,24.0,3.0,1.0
45027,Clarendon County,SC,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45031,Darlington County,SC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
